exp_id,method,seed,phase_1_train_loss,phase_1_eval_loss,phase_2_train_loss,phase_2_eval_loss,final_eval_loss,final_train_loss,generalization_gap,phase_2_delta_eval,summary_path
exp_012_random_only_multiseed,Random,13,38.76929219563802,9.617856979370117,38.76347351074219,9.616514205932617,9.616514205932617,38.76347351074219,-29.14695930480957,-0.0013427734375,D:\Working\llm-batching-research\experiments\exp_012_random_only_multiseed\seed_013\run_summary.json
exp_012_random_only_multiseed,Random,21,38.81906382242838,9.617794036865234,38.81324259440104,9.616422653198242,9.616422653198242,38.81324259440104,-29.196819941202797,-0.0013713836669921875,D:\Working\llm-batching-research\experiments\exp_012_random_only_multiseed\seed_021\run_summary.json
exp_012_random_only_multiseed,Random,42,38.7400156656901,9.617696762084961,38.73358408610026,9.616260528564453,9.616260528564453,38.73358408610026,-29.117323557535805,-0.0014362335205078125,D:\Working\llm-batching-research\experiments\exp_012_random_only_multiseed\seed_042\run_summary.json
exp_013_grouped_only_multiseed,Grouped,13,38.76708475748698,9.617878913879395,38.761128743489586,9.616560935974121,9.616560935974121,38.761128743489586,-29.144567807515465,-0.0013179779052734375,D:\Working\llm-batching-research\experiments\exp_013_grouped_only_multiseed\seed_013\run_summary.json
exp_013_grouped_only_multiseed,Grouped,21,38.78485616048177,9.617956161499023,38.779431660970054,9.616718292236328,9.616718292236328,38.779431660970054,-29.162713368733726,-0.0012378692626953125,D:\Working\llm-batching-research\experiments\exp_013_grouped_only_multiseed\seed_021\run_summary.json
exp_013_grouped_only_multiseed,Grouped,42,38.63357798258463,9.617714881896973,38.626068115234375,9.616301536560059,9.616301536560059,38.626068115234375,-29.009766578674316,-0.0014133453369140625,D:\Working\llm-batching-research\experiments\exp_013_grouped_only_multiseed\seed_042\run_summary.json
exp_014_grouped_to_random_multiseed,Grouped→Random,13,38.76712290445963,9.617883682250977,38.764381408691406,9.616586685180664,9.616586685180664,38.764381408691406,-29.147794723510742,-0.0012969970703125,D:\Working\llm-batching-research\experiments\exp_014_grouped_to_random_multiseed\seed_013\run_summary.json
exp_014_grouped_to_random_multiseed,Grouped→Random,21,38.78487904866537,9.617913246154785,38.814361572265625,9.616605758666992,9.616605758666992,38.814361572265625,-29.197755813598633,-0.0013074874877929688,D:\Working\llm-batching-research\experiments\exp_014_grouped_to_random_multiseed\seed_021\run_summary.json
exp_014_grouped_to_random_multiseed,Grouped→Random,42,38.63395690917969,9.617913246154785,38.73524729410807,9.616581916809082,9.616581916809082,38.73524729410807,-29.11866537729899,-0.001331329345703125,D:\Working\llm-batching-research\experiments\exp_014_grouped_to_random_multiseed\seed_042\run_summary.json
exp_015_random_to_grouped_multiseed,Random→Grouped,13,38.76924133300781,9.617804527282715,38.761436462402344,9.616451263427734,9.616451263427734,38.761436462402344,-29.14498519897461,-0.0013532638549804688,D:\Working\llm-batching-research\experiments\exp_015_random_to_grouped_multiseed\seed_013\run_summary.json
exp_015_random_to_grouped_multiseed,Random→Grouped,21,38.818949381510414,9.617691993713379,38.779162089029946,9.616283416748047,9.616283416748047,38.779162089029946,-29.1628786722819,-0.0014085769653320312,D:\Working\llm-batching-research\experiments\exp_015_random_to_grouped_multiseed\seed_021\run_summary.json
exp_015_random_to_grouped_multiseed,Random→Grouped,42,38.74015553792318,9.617753982543945,38.62704213460287,9.616425514221191,9.616425514221191,38.62704213460287,-29.010616620381676,-0.0013284683227539062,D:\Working\llm-batching-research\experiments\exp_015_random_to_grouped_multiseed\seed_042\run_summary.json
